n,method,x,y,z,verified,d,a,b,n_mod_4,n_mod_8,n_mod_12,n_mod_24,n_mod_60,n_mod_120,n_mod_840
2,formula_even,1,2,2,True,,,,2,2,2,2,2,2,2
3,formula_divisible_by_3,1,6,6,True,,,,3,3,3,3,3,3,3
4,formula_even,2,4,4,True,,,,0,4,4,4,4,4,4
5,general_key_d_3,2,20,4,True,3,2,10,1,5,5,5,5,5,5
6,formula_even,3,6,6,True,,,,2,6,6,6,6,6,6
7,formula_3_mod_4,2,28,28,True,,,,3,7,7,7,7,7,7
8,formula_even,4,8,8,True,,,,0,0,8,8,8,8,8
9,formula_divisible_by_3,3,18,18,True,,,,1,1,9,9,9,9,9
10,formula_even,5,10,10,True,,,,2,2,10,10,10,10,10
11,formula_3_mod_4,3,66,66,True,,,,3,3,11,11,11,11,11
12,formula_even,6,12,12,True,,,,0,4,0,12,12,12,12
13,general_key_d_3,4,52,26,True,3,4,8,1,5,1,13,13,13,13
14,formula_even,7,14,14,True,,,,2,6,2,14,14,14,14
15,formula_divisible_by_3,5,30,30,True,,,,3,7,3,15,15,15,15
16,formula_even,8,16,16,True,,,,0,0,4,16,16,16,16
17,general_key_d_3,5,170,34,True,3,2,10,1,1,5,17,17,17,17
18,formula_even,9,18,18,True,,,,2,2,6,18,18,18,18
19,formula_3_mod_4,5,190,190,True,,,,3,3,7,19,19,19,19
20,formula_even,10,20,20,True,,,,0,4,8,20,20,20,20
21,formula_divisible_by_3,7,42,42,True,,,,1,5,9,21,21,21,21
22,formula_even,11,22,22,True,,,,2,6,10,22,22,22,22
23,formula_3_mod_4,6,276,276,True,,,,3,7,11,23,23,23,23
24,formula_even,12,24,24,True,,,,0,0,0,0,24,24,24
25,general_key_d_3,7,350,70,True,3,2,10,1,1,1,1,25,25,25
26,formula_even,13,26,26,True,,,,2,2,2,2,26,26,26
27,formula_divisible_by_3,9,54,54,True,,,,3,3,3,3,27,27,27
28,formula_even,14,28,28,True,,,,0,4,4,4,28,28,28
29,general_key_d_3,8,232,116,True,3,4,8,1,5,5,5,29,29,29
30,formula_even,15,30,30,True,,,,2,6,6,6,30,30,30
31,formula_3_mod_4,8,496,496,True,,,,3,7,7,7,31,31,31
32,formula_even,16,32,32,True,,,,0,0,8,8,32,32,32
33,formula_divisible_by_3,11,66,66,True,,,,1,1,9,9,33,33,33
34,formula_even,17,34,34,True,,,,2,2,10,10,34,34,34
35,formula_3_mod_4,9,630,630,True,,,,3,3,11,11,35,35,35
36,formula_even,18,36,36,True,,,,0,4,0,12,36,36,36
37,general_key_d_3,10,740,148,True,3,2,10,1,5,1,13,37,37,37
38,formula_even,19,38,38,True,,,,2,6,2,14,38,38,38
39,formula_divisible_by_3,13,78,78,True,,,,3,7,3,15,39,39,39
40,formula_even,20,40,40,True,,,,0,0,4,16,40,40,40
41,general_key_d_3,11,1804,164,True,3,1,11,1,1,5,17,41,41,41
42,formula_even,21,42,42,True,,,,2,2,6,18,42,42,42
43,formula_3_mod_4,11,946,946,True,,,,3,3,7,19,43,43,43
44,formula_even,22,44,44,True,,,,0,4,8,20,44,44,44
45,formula_divisible_by_3,15,90,90,True,,,,1,5,9,21,45,45,45
46,formula_even,23,46,46,True,,,,2,6,10,22,46,46,46
47,formula_3_mod_4,12,1128,1128,True,,,,3,7,11,23,47,47,47
48,formula_even,24,48,48,True,,,,0,0,0,0,48,48,48
49,general_key_d_7,14,196,196,True,7,14,14,1,1,1,1,49,49,49
50,formula_even,25,50,50,True,,,,2,2,2,2,50,50,50
51,formula_divisible_by_3,17,102,102,True,,,,3,3,3,3,51,51,51
52,formula_even,26,52,52,True,,,,0,4,4,4,52,52,52
53,general_key_d_3,14,742,371,True,3,4,8,1,5,5,5,53,53,53
54,formula_even,27,54,54,True,,,,2,6,6,6,54,54,54
55,formula_3_mod_4,14,1540,1540,True,,,,3,7,7,7,55,55,55
56,formula_even,28,56,56,True,,,,0,0,8,8,56,56,56
57,formula_divisible_by_3,19,114,114,True,,,,1,1,9,9,57,57,57
58,formula_even,29,58,58,True,,,,2,2,10,10,58,58,58
59,formula_3_mod_4,15,1770,1770,True,,,,3,3,11,11,59,59,59
60,formula_even,30,60,60,True,,,,0,4,0,12,0,60,60
61,general_key_d_3,16,976,488,True,3,4,8,1,5,1,13,1,61,61
62,formula_even,31,62,62,True,,,,2,6,2,14,2,62,62
63,formula_divisible_by_3,21,126,126,True,,,,3,7,3,15,3,63,63
64,formula_even,32,64,64,True,,,,0,0,4,16,4,64,64
65,general_key_d_3,17,2210,442,True,3,2,10,1,1,5,17,5,65,65
66,formula_even,33,66,66,True,,,,2,2,6,18,6,66,66
67,formula_3_mod_4,17,2278,2278,True,,,,3,3,7,19,7,67,67
68,formula_even,34,68,68,True,,,,0,4,8,20,8,68,68
69,formula_divisible_by_3,23,138,138,True,,,,1,5,9,21,9,69,69
70,formula_even,35,70,70,True,,,,2,6,10,22,10,70,70
71,formula_3_mod_4,18,2556,2556,True,,,,3,7,11,23,11,71,71
72,formula_even,36,72,72,True,,,,0,0,0,0,12,72,72
73,general_key_d_7,20,730,292,True,7,8,20,1,1,1,1,13,73,73
74,formula_even,37,74,74,True,,,,2,2,2,2,14,74,74
75,formula_divisible_by_3,25,150,150,True,,,,3,3,3,3,15,75,75
76,formula_even,38,76,76,True,,,,0,4,4,4,16,76,76
77,general_key_d_3,20,6160,560,True,3,1,11,1,5,5,5,17,77,77
78,formula_even,39,78,78,True,,,,2,6,6,6,18,78,78
79,formula_3_mod_4,20,3160,3160,True,,,,3,7,7,7,19,79,79
80,formula_even,40,80,80,True,,,,0,0,8,8,20,80,80
81,formula_divisible_by_3,27,162,162,True,,,,1,1,9,9,21,81,81
82,formula_even,41,82,82,True,,,,2,2,10,10,22,82,82
83,formula_3_mod_4,21,3486,3486,True,,,,3,3,11,11,23,83,83
84,formula_even,42,84,84,True,,,,0,4,0,12,24,84,84
85,general_key_d_3,22,7480,680,True,3,1,11,1,5,1,13,25,85,85
86,formula_even,43,86,86,True,,,,2,6,2,14,26,86,86
87,formula_divisible_by_3,29,174,174,True,,,,3,7,3,15,27,87,87
88,formula_even,44,88,88,True,,,,0,0,4,16,28,88,88
89,general_key_d_7,24,2136,356,True,7,4,24,1,1,5,17,29,89,89
90,formula_even,45,90,90,True,,,,2,2,6,18,30,90,90
91,formula_3_mod_4,23,4186,4186,True,,,,3,3,7,19,31,91,91
92,formula_even,46,92,92,True,,,,0,4,8,20,32,92,92
93,formula_divisible_by_3,31,186,186,True,,,,1,5,9,21,33,93,93
94,formula_even,47,94,94,True,,,,2,6,10,22,34,94,94
95,formula_3_mod_4,24,4560,4560,True,,,,3,7,11,23,35,95,95
96,formula_even,48,96,96,True,,,,0,0,0,0,36,96,96
97,general_key_d_3,25,4850,970,True,3,2,10,1,1,1,1,37,97,97
98,formula_even,49,98,98,True,,,,2,2,2,2,38,98,98
99,formula_divisible_by_3,33,198,198,True,,,,3,3,3,3,39,99,99
100,formula_even,50,100,100,True,,,,0,4,4,4,40,100,100
101,general_key_d_3,26,2626,1313,True,3,4,8,1,5,5,5,41,101,101
102,formula_even,51,102,102,True,,,,2,6,6,6,42,102,102
103,formula_3_mod_4,26,5356,5356,True,,,,3,7,7,7,43,103,103
104,formula_even,52,104,104,True,,,,0,0,8,8,44,104,104
105,formula_divisible_by_3,35,210,210,True,,,,1,1,9,9,45,105,105
106,formula_even,53,106,106,True,,,,2,2,10,10,46,106,106
107,formula_3_mod_4,27,5778,5778,True,,,,3,3,11,11,47,107,107
108,formula_even,54,108,108,True,,,,0,4,0,12,48,108,108
109,general_key_d_3,28,3052,1526,True,3,4,8,1,5,1,13,49,109,109
110,formula_even,55,110,110,True,,,,2,6,2,14,50,110,110
111,formula_divisible_by_3,37,222,222,True,,,,3,7,3,15,51,111,111
112,formula_even,56,112,112,True,,,,0,0,4,16,52,112,112
113,general_key_d_7,30,3390,565,True,7,4,24,1,1,5,17,53,113,113
114,formula_even,57,114,114,True,,,,2,2,6,18,54,114,114
115,formula_3_mod_4,29,6670,6670,True,,,,3,3,7,19,55,115,115
116,formula_even,58,116,116,True,,,,0,4,8,20,56,116,116
117,formula_divisible_by_3,39,234,234,True,,,,1,5,9,21,57,117,117
118,formula_even,59,118,118,True,,,,2,6,10,22,58,118,118
119,formula_3_mod_4,30,7140,7140,True,,,,3,7,11,23,59,119,119
120,formula_even,60,120,120,True,,,,0,0,0,0,0,0,120
121,general_key_d_3,31,15004,1364,True,3,1,11,1,1,1,1,1,1,121
122,formula_even,61,122,122,True,,,,2,2,2,2,2,2,122
123,formula_divisible_by_3,41,246,246,True,,,,3,3,3,3,3,3,123
124,formula_even,62,124,124,True,,,,0,4,4,4,4,4,124
125,general_key_d_3,32,8000,1600,True,3,2,10,1,5,5,5,5,5,125
126,formula_even,63,126,126,True,,,,2,6,6,6,6,6,126
127,formula_3_mod_4,32,8128,8128,True,,,,3,7,7,7,7,7,127
128,formula_even,64,128,128,True,,,,0,0,8,8,8,8,128
129,formula_divisible_by_3,43,258,258,True,,,,1,1,9,9,9,9,129
130,formula_even,65,130,130,True,,,,2,2,10,10,10,10,130
131,formula_3_mod_4,33,8646,8646,True,,,,3,3,11,11,11,11,131
132,formula_even,66,132,132,True,,,,0,4,0,12,12,12,132
133,general_key_d_3,34,4522,2261,True,3,4,8,1,5,1,13,13,13,133
134,formula_even,67,134,134,True,,,,2,6,2,14,14,14,134
135,formula_divisible_by_3,45,270,270,True,,,,3,7,3,15,15,15,135
136,formula_even,68,136,136,True,,,,0,0,4,16,16,16,136
137,general_key_d_3,35,9590,1918,True,3,2,10,1,1,5,17,17,17,137
138,formula_even,69,138,138,True,,,,2,2,6,18,18,18,138
139,formula_3_mod_4,35,9730,9730,True,,,,3,3,7,19,19,19,139
140,formula_even,70,140,140,True,,,,0,4,8,20,20,20,140
141,formula_divisible_by_3,47,282,282,True,,,,1,5,9,21,21,21,141
142,formula_even,71,142,142,True,,,,2,6,10,22,22,22,142
143,formula_3_mod_4,36,10296,10296,True,,,,3,7,11,23,23,23,143
144,formula_even,72,144,144,True,,,,0,0,0,0,24,24,144
145,general_key_d_3,37,10730,2146,True,3,2,10,1,1,1,1,25,25,145
146,formula_even,73,146,146,True,,,,2,2,2,2,26,26,146
147,formula_divisible_by_3,49,294,294,True,,,,3,3,3,3,27,27,147
148,formula_even,74,148,148,True,,,,0,4,4,4,28,28,148
149,general_key_d_3,38,5662,2831,True,3,4,8,1,5,5,5,29,29,149
150,formula_even,75,150,150,True,,,,2,6,6,6,30,30,150
151,formula_3_mod_4,38,11476,11476,True,,,,3,7,7,7,31,31,151
152,formula_even,76,152,152,True,,,,0,0,8,8,32,32,152
153,formula_divisible_by_3,51,306,306,True,,,,1,1,9,9,33,33,153
154,formula_even,77,154,154,True,,,,2,2,10,10,34,34,154
155,formula_3_mod_4,39,12090,12090,True,,,,3,3,11,11,35,35,155
156,formula_even,78,156,156,True,,,,0,4,0,12,36,36,156
157,general_key_d_3,40,12560,2512,True,3,2,10,1,5,1,13,37,37,157
158,formula_even,79,158,158,True,,,,2,6,2,14,38,38,158
159,formula_divisible_by_3,53,318,318,True,,,,3,7,3,15,39,39,159
160,formula_even,80,160,160,True,,,,0,0,4,16,40,40,160
161,general_key_d_7,42,6762,1127,True,7,4,24,1,1,5,17,41,41,161
162,formula_even,81,162,162,True,,,,2,2,6,18,42,42,162
163,formula_3_mod_4,41,13366,13366,True,,,,3,3,7,19,43,43,163
164,formula_even,82,164,164,True,,,,0,4,8,20,44,44,164
165,formula_divisible_by_3,55,330,330,True,,,,1,5,9,21,45,45,165
166,formula_even,83,166,166,True,,,,2,6,10,22,46,46,166
167,formula_3_mod_4,42,14028,14028,True,,,,3,7,11,23,47,47,167
168,formula_even,84,168,168,True,,,,0,0,0,0,48,48,168
169,general_key_d_7,44,14872,1144,True,7,2,26,1,1,1,1,49,49,169
170,formula_even,85,170,170,True,,,,2,2,2,2,50,50,170
171,formula_divisible_by_3,57,342,342,True,,,,3,3,3,3,51,51,171
172,formula_even,86,172,172,True,,,,0,4,4,4,52,52,172
173,general_key_d_3,44,30448,2768,True,3,1,11,1,5,5,5,53,53,173
174,formula_even,87,174,174,True,,,,2,6,6,6,54,54,174
175,formula_3_mod_4,44,15400,15400,True,,,,3,7,7,7,55,55,175
176,formula_even,88,176,176,True,,,,0,0,8,8,56,56,176
177,formula_divisible_by_3,59,354,354,True,,,,1,1,9,9,57,57,177
178,formula_even,89,178,178,True,,,,2,2,10,10,58,58,178
179,formula_3_mod_4,45,16110,16110,True,,,,3,3,11,11,59,59,179
180,formula_even,90,180,180,True,,,,0,4,0,12,0,60,180
181,general_key_d_3,46,8326,4163,True,3,4,8,1,5,1,13,1,61,181
182,formula_even,91,182,182,True,,,,2,6,2,14,2,62,182
183,formula_divisible_by_3,61,366,366,True,,,,3,7,3,15,3,63,183
184,formula_even,92,184,184,True,,,,0,0,4,16,4,64,184
185,general_key_d_3,47,17390,3478,True,3,2,10,1,1,5,17,5,65,185
186,formula_even,93,186,186,True,,,,2,2,6,18,6,66,186
187,formula_3_mod_4,47,17578,17578,True,,,,3,3,7,19,7,67,187
188,formula_even,94,188,188,True,,,,0,4,8,20,8,68,188
189,formula_divisible_by_3,63,378,378,True,,,,1,5,9,21,9,69,189
190,formula_even,95,190,190,True,,,,2,6,10,22,10,70,190
191,formula_3_mod_4,48,18336,18336,True,,,,3,7,11,23,11,71,191
192,formula_even,96,192,192,True,,,,0,0,0,0,12,72,192
193,general_key_d_7,50,4825,1930,True,7,8,20,1,1,1,1,13,73,193
194,formula_even,97,194,194,True,,,,2,2,2,2,14,74,194
195,formula_divisible_by_3,65,390,390,True,,,,3,3,3,3,15,75,195
196,formula_even,98,196,196,True,,,,0,4,4,4,16,76,196
197,general_key_d_3,50,19700,3940,True,3,2,10,1,5,5,5,17,77,197
198,formula_even,99,198,198,True,,,,2,6,6,6,18,78,198
199,formula_3_mod_4,50,19900,19900,True,,,,3,7,7,7,19,79,199
200,formula_even,100,200,200,True,,,,0,0,8,8,20,80,200
201,formula_divisible_by_3,67,402,402,True,,,,1,1,9,9,21,81,201
202,formula_even,101,202,202,True,,,,2,2,10,10,22,82,202
203,formula_3_mod_4,51,20706,20706,True,,,,3,3,11,11,23,83,203
204,formula_even,102,204,204,True,,,,0,4,0,12,24,84,204
205,general_key_d_3,52,21320,4264,True,3,2,10,1,5,1,13,25,85,205
206,formula_even,103,206,206,True,,,,2,6,2,14,26,86,206
207,formula_divisible_by_3,69,414,414,True,,,,3,7,3,15,27,87,207
208,formula_even,104,208,208,True,,,,0,0,4,16,28,88,208
209,general_key_d_3,53,44308,4028,True,3,1,11,1,1,5,17,29,89,209
210,formula_even,105,210,210,True,,,,2,2,6,18,30,90,210
211,formula_3_mod_4,53,22366,22366,True,,,,3,3,7,19,31,91,211
212,formula_even,106,212,212,True,,,,0,4,8,20,32,92,212
213,formula_divisible_by_3,71,426,426,True,,,,1,5,9,21,33,93,213
214,formula_even,107,214,214,True,,,,2,6,10,22,34,94,214
215,formula_3_mod_4,54,23220,23220,True,,,,3,7,11,23,35,95,215
216,formula_even,108,216,216,True,,,,0,0,0,0,36,96,216
217,general_key_d_3,55,47740,4340,True,3,1,11,1,1,1,1,37,97,217
218,formula_even,109,218,218,True,,,,2,2,2,2,38,98,218
219,formula_divisible_by_3,73,438,438,True,,,,3,3,3,3,39,99,219
220,formula_even,110,220,220,True,,,,0,4,4,4,40,100,220
221,general_key_d_3,56,12376,6188,True,3,4,8,1,5,5,5,41,101,221
222,formula_even,111,222,222,True,,,,2,6,6,6,42,102,222
223,formula_3_mod_4,56,24976,24976,True,,,,3,7,7,7,43,103,223
224,formula_even,112,224,224,True,,,,0,0,8,8,44,104,224
225,formula_divisible_by_3,75,450,450,True,,,,1,1,9,9,45,105,225
226,formula_even,113,226,226,True,,,,2,2,10,10,46,106,226
227,formula_3_mod_4,57,25878,25878,True,,,,3,3,11,11,47,107,227
228,formula_even,114,228,228,True,,,,0,4,0,12,48,108,228
229,general_key_d_3,58,13282,6641,True,3,4,8,1,5,1,13,49,109,229
230,formula_even,115,230,230,True,,,,2,6,2,14,50,110,230
231,formula_divisible_by_3,77,462,462,True,,,,3,7,3,15,51,111,231
232,formula_even,116,232,232,True,,,,0,0,4,16,52,112,232
233,general_key_d_7,60,13980,2330,True,7,4,24,1,1,5,17,53,113,233
234,formula_even,117,234,234,True,,,,2,2,6,18,54,114,234
235,formula_3_mod_4,59,27730,27730,True,,,,3,3,7,19,55,115,235
236,formula_even,118,236,236,True,,,,0,4,8,20,56,116,236
237,formula_divisible_by_3,79,474,474,True,,,,1,5,9,21,57,117,237
238,formula_even,119,238,238,True,,,,2,6,10,22,58,118,238
239,formula_3_mod_4,60,28680,28680,True,,,,3,7,11,23,59,119,239
240,formula_even,120,240,240,True,,,,0,0,0,0,0,0,240
241,general_key_d_11,63,30366,1446,True,11,2,42,1,1,1,1,1,1,241
242,formula_even,121,242,242,True,,,,2,2,2,2,2,2,242
243,formula_divisible_by_3,81,486,486,True,,,,3,3,3,3,3,3,243
244,formula_even,122,244,244,True,,,,0,4,4,4,4,4,244
245,general_key_d_3,62,30380,6076,True,3,2,10,1,5,5,5,5,5,245
246,formula_even,123,246,246,True,,,,2,6,6,6,6,6,246
247,formula_3_mod_4,62,30628,30628,True,,,,3,7,7,7,7,7,247
248,formula_even,124,248,248,True,,,,0,0,8,8,8,8,248
249,formula_divisible_by_3,83,498,498,True,,,,1,1,9,9,9,9,249
250,formula_even,125,250,250,True,,,,2,2,10,10,10,10,250
251,formula_3_mod_4,63,31626,31626,True,,,,3,3,11,11,11,11,251
252,formula_even,126,252,252,True,,,,0,4,0,12,12,12,252
253,general_key_d_3,64,64768,5888,True,3,1,11,1,5,1,13,13,13,253
254,formula_even,127,254,254,True,,,,2,6,2,14,14,14,254
255,formula_divisible_by_3,85,510,510,True,,,,3,7,3,15,15,15,255
256,formula_even,128,256,256,True,,,,0,0,4,16,16,16,256
257,general_key_d_3,65,33410,6682,True,3,2,10,1,1,5,17,17,17,257
258,formula_even,129,258,258,True,,,,2,2,6,18,18,18,258
259,formula_3_mod_4,65,33670,33670,True,,,,3,3,7,19,19,19,259
260,formula_even,130,260,260,True,,,,0,4,8,20,20,20,260
261,formula_divisible_by_3,87,522,522,True,,,,1,5,9,21,21,21,261
262,formula_even,131,262,262,True,,,,2,6,10,22,22,22,262
263,formula_3_mod_4,66,34716,34716,True,,,,3,7,11,23,23,23,263
264,formula_even,132,264,264,True,,,,0,0,0,0,24,24,264
265,general_key_d_3,67,35510,7102,True,3,2,10,1,1,1,1,25,25,265
266,formula_even,133,266,266,True,,,,2,2,2,2,26,26,266
267,formula_divisible_by_3,89,534,534,True,,,,3,3,3,3,27,27,267
268,formula_even,134,268,268,True,,,,0,4,4,4,28,28,268
269,general_key_d_3,68,18292,9146,True,3,4,8,1,5,5,5,29,29,269
270,formula_even,135,270,270,True,,,,2,6,6,6,30,30,270
271,formula_3_mod_4,68,36856,36856,True,,,,3,7,7,7,31,31,271
272,formula_even,136,272,272,True,,,,0,0,8,8,32,32,272
273,formula_divisible_by_3,91,546,546,True,,,,1,1,9,9,33,33,273
274,formula_even,137,274,274,True,,,,2,2,10,10,34,34,274
275,formula_3_mod_4,69,37950,37950,True,,,,3,3,11,11,35,35,275
276,formula_even,138,276,276,True,,,,0,4,0,12,36,36,276
277,general_key_d_3,70,38780,7756,True,3,2,10,1,5,1,13,37,37,277
278,formula_even,139,278,278,True,,,,2,6,2,14,38,38,278
279,formula_divisible_by_3,93,558,558,True,,,,3,7,3,15,39,39,279
280,formula_even,140,280,280,True,,,,0,0,4,16,40,40,280
281,general_key_d_7,72,20232,3372,True,7,4,24,1,1,5,17,41,41,281
282,formula_even,141,282,282,True,,,,2,2,6,18,42,42,282
283,formula_3_mod_4,71,40186,40186,True,,,,3,3,7,19,43,43,283
284,formula_even,142,284,284,True,,,,0,4,8,20,44,44,284
285,formula_divisible_by_3,95,570,570,True,,,,1,5,9,21,45,45,285
286,formula_even,143,286,286,True,,,,2,6,10,22,46,46,286
287,formula_3_mod_4,72,41328,41328,True,,,,3,7,11,23,47,47,287
288,formula_even,144,288,288,True,,,,0,0,0,0,48,48,288
289,general_key_d_11,75,8670,2550,True,11,10,34,1,1,1,1,49,49,289
290,formula_even,145,290,290,True,,,,2,2,2,2,50,50,290
291,formula_divisible_by_3,97,582,582,True,,,,3,3,3,3,51,51,291
292,formula_even,146,292,292,True,,,,0,4,4,4,52,52,292
293,general_key_d_3,74,21682,10841,True,3,4,8,1,5,5,5,53,53,293
294,formula_even,147,294,294,True,,,,2,6,6,6,54,54,294
295,formula_3_mod_4,74,43660,43660,True,,,,3,7,7,7,55,55,295
296,formula_even,148,296,296,True,,,,0,0,8,8,56,56,296
297,formula_divisible_by_3,99,594,594,True,,,,1,1,9,9,57,57,297
298,formula_even,149,298,298,True,,,,2,2,10,10,58,58,298
299,formula_3_mod_4,75,44850,44850,True,,,,3,3,11,11,59,59,299
300,formula_even,150,300,300,True,,,,0,4,0,12,0,60,300
301,general_key_d_3,76,22876,11438,True,3,4,8,1,5,1,13,1,61,301
302,formula_even,151,302,302,True,,,,2,6,2,14,2,62,302
303,formula_divisible_by_3,101,606,606,True,,,,3,7,3,15,3,63,303
304,formula_even,152,304,304,True,,,,0,0,4,16,4,64,304
305,general_key_d_3,77,93940,8540,True,3,1,11,1,1,5,17,5,65,305
306,formula_even,153,306,306,True,,,,2,2,6,18,6,66,306
307,formula_3_mod_4,77,47278,47278,True,,,,3,3,7,19,7,67,307
308,formula_even,154,308,308,True,,,,0,4,8,20,8,68,308
309,formula_divisible_by_3,103,618,618,True,,,,1,5,9,21,9,69,309
310,formula_even,155,310,310,True,,,,2,6,10,22,10,70,310
311,formula_3_mod_4,78,48516,48516,True,,,,3,7,11,23,11,71,311
312,formula_even,156,312,312,True,,,,0,0,0,0,12,72,312
313,general_key_d_7,80,12520,5008,True,7,8,20,1,1,1,1,13,73,313
314,formula_even,157,314,314,True,,,,2,2,2,2,14,74,314
315,formula_divisible_by_3,105,630,630,True,,,,3,3,3,3,15,75,315
316,formula_even,158,316,316,True,,,,0,4,4,4,16,76,316
317,general_key_d_3,80,50720,10144,True,3,2,10,1,5,5,5,17,77,317
318,formula_even,159,318,318,True,,,,2,6,6,6,18,78,318
319,formula_3_mod_4,80,51040,51040,True,,,,3,7,7,7,19,79,319
320,formula_even,160,320,320,True,,,,0,0,8,8,20,80,320
321,formula_divisible_by_3,107,642,642,True,,,,1,1,9,9,21,81,321
322,formula_even,161,322,322,True,,,,2,2,10,10,22,82,322
323,formula_3_mod_4,81,52326,52326,True,,,,3,3,11,11,23,83,323
324,formula_even,162,324,324,True,,,,0,4,0,12,24,84,324
325,general_key_d_3,82,53300,10660,True,3,2,10,1,5,1,13,25,85,325
326,formula_even,163,326,326,True,,,,2,6,2,14,26,86,326
327,formula_divisible_by_3,109,654,654,True,,,,3,7,3,15,27,87,327
328,formula_even,164,328,328,True,,,,0,0,4,16,28,88,328
329,general_key_d_7,84,27636,4606,True,7,4,24,1,1,5,17,29,89,329
330,formula_even,165,330,330,True,,,,2,2,6,18,30,90,330
331,formula_3_mod_4,83,54946,54946,True,,,,3,3,7,19,31,91,331
332,formula_even,166,332,332,True,,,,0,4,8,20,32,92,332
333,formula_divisible_by_3,111,666,666,True,,,,1,5,9,21,33,93,333
334,formula_even,167,334,334,True,,,,2,6,10,22,34,94,334
335,formula_3_mod_4,84,56280,56280,True,,,,3,7,11,23,35,95,335
336,formula_even,168,336,336,True,,,,0,0,0,0,36,96,336
337,general_key_d_3,85,57290,11458,True,3,2,10,1,1,1,1,37,97,337
338,formula_even,169,338,338,True,,,,2,2,2,2,38,98,338
339,formula_divisible_by_3,113,678,678,True,,,,3,3,3,3,39,99,339
340,formula_even,170,340,340,True,,,,0,4,4,4,40,100,340
341,general_key_d_3,86,117304,10664,True,3,1,11,1,5,5,5,41,101,341
342,formula_even,171,342,342,True,,,,2,6,6,6,42,102,342
343,formula_3_mod_4,86,58996,58996,True,,,,3,7,7,7,43,103,343
